,날짜,제목
0,2021-12-01,'청년인재 육성' 삼성전자 복지부 장관상[2021 사회공헌대상]
1,2021-12-02,‘외국인의 힘’ 삼성전자·SK하이닉스 이틀 연속 날았다
2,2021-12-03,"크게 터진다 ""초대형 제2의 삼성전자"""
3,2021-12-04,"크게 터진다 ""초대형 제2의 삼성전자"""
4,2021-12-05,"단일기업 첫 1100억弗 '금자탑'… 한국 수출 6분의1 맡았다 [삼성전자, 수출역사 새로 쓰다]"
5,2021-12-06,"리서치알음 ""아스플로, 삼성전자·SK하이닉스 파운드리 대규모 증설 수혜주 """
6,2021-12-07,'냉혹한 현실' 본 이재용의 쇄신…삼성전자 투톱체제로 [삼성전자 수뇌부 전격 교체]
7,2021-12-08,"'참 드문 광경' 아쉬움 가득한 환송… 기대감 넘치는 환영 [삼성전자 'MR. 사이다' 경계현, 화려한 컴백]"
8,2021-12-09,"45세 부사장, 37세 상무… 젊어진 '뉴삼성' [삼성전자 세대교체]"
9,2021-12-10,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
10,2021-12-11,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
11,2021-12-12,"삼성전자, CE+IM부문 'DX'로 통합...삼성봇 상용화 임박"
12,2021-12-13,<부고> 김광태씨(전 삼성전자 커뮤니케이션팀 전무) 모친상
13,2021-12-14,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
14,2021-12-15,"삼성전자 투톱 첫 행보는 소통… ""원 삼성으로 시너지 내자"""
15,2021-12-16,"삼성전자 등 국내 9개 대기업, 6조7400억원 투입 '중기 임금격차 해소'"
16,2021-12-17,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
17,2021-12-18,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
18,2021-12-19,삼성전자가 쏘아올린 로봇테마
19,2021-12-20,"삼성전자 R&D투자, 애플·인텔 제쳤다"
20,2021-12-21,"마이크론 호실적에 삼성전자·SK하이닉스 급등 마감...""불황 우려 해소"""
21,2021-12-22,"코나아이, 삼성카드에 지문카드 공급 “삼성전자와 프로젝트 협력 계약”"
22,2021-12-23,"삼성전자·크림 '슈드레서' 한정판 100대, 79초 만에 완판"
23,2021-12-24,"삼성전자, '8만전자' 안착…SK하이닉스도 ‘13만원’대 회복"
24,2021-12-25,"삼성전자, '8만전자' 안착…SK하이닉스도 ‘13만원’대 회복"
25,2021-12-26,삼성전자 20년 연속 낸드점유율 '세계 1위'
26,2021-12-27,"삼성전자, 부산 에코델타시티에 '스마트홈' 구축"
27,2021-12-28,"삼성전자 한종희 부회장 등 45명, 공학한림원 정회원 됐다"
28,2021-12-29,"1년 기다렸다…삼성전자 직원 성과급, 반도체·스마트폰·TV '연봉의 50%'"
29,2021-12-30,"삼성전자, 내년 美 '비스포크 가전 전성시대' 연다"
30,2021-12-31,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
31,2022-01-01,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
32,2022-01-02,반도체·가전 초격차 확대…삼성·LG전자 작년 최대 실적 예고
33,2022-01-03,반도체·가전 초격차 확대…삼성·LG전자 작년 최대 실적 예고
34,2022-01-04,"“삼성전자, 올해 실적 기대감에 목표가 상향” - 한국투자증권"
35,2022-01-05,"삼성전자 부회장 한종희 ""기술은 지속가능한 미래 지향해야""… 친환경기술 개발 선도 [CES 2022]"
36,2022-01-06,"삼성전자, 대형 M&A 예고 ""조만간 좋은 소식"""
37,2022-01-07,[fn사설] 코로나 벽 훌쩍 넘어선 삼성·LG전자
38,2022-01-08,"‘역대급 실적’ 삼성전자, 미 국채금리 압박 속 반도체주 ‘꿈틀’"
39,2022-01-09,삼성전자-LG전자 'CES2022' 혁신상 등 휩쓸어
40,2022-01-10,"대한항공, 삼성전자와 손잡고 스카이패스 회원 전용 마일리지 적립몰 오픈"
41,2022-01-11,"""삼성전자"" 뒤이을 초대형 수혜 TOP3 공개"
42,2022-01-12,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
43,2022-01-13,"삼성전자, 반도체 부문 추가 성과급 지급 검토"
44,2022-01-14,반도체 대란 첫 “국산화” 성공!! “삼성전자” 관련 최대 수혜株!
45,2022-01-15,반도체 대란 첫 “국산화” 성공!! “삼성전자” 관련 최대 수혜株!
46,2022-01-16,삼성전자 ‘큐커 식품관’ 오픈… 식품 정기구독까지
47,2022-01-17,반도체 대란 첫 “국산화” 성공!! “삼성전자” 관련 최대 수혜株!
48,2022-01-18,반도체 대란 첫 “국산화” 성공!! “삼성전자” 관련 최대 수혜株!
49,2022-01-19,"또 한번 크게 터진다 ""초대형 제2의 삼성전자"""
50,2022-01-20,3년만에 인텔 제친 삼성전자... 작년 반도체 매출 '세계 1위'
51,2022-01-21,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
52,2022-01-22,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
53,2022-01-23,"삼성전자, 첫 노사 임금협약 체결 초읽기"
54,2022-01-24,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
55,2022-01-25,"'팬덤플랫폼' 비마이프렌즈, 삼성전자 출신 박한나CMO 영입"
56,2022-01-26,"삼성전자, 메모리사업부에 300% 추가 보너스"
57,2022-01-27,삼성 반도체 매출만 94조… 인텔 제치고 세계 1위 [삼성전자 반도체 세계 1위]
58,2022-01-28,삼성 반도체 매출만 94조… 인텔 제치고 세계 1위 [삼성전자 반도체 세계 1위]
59,2022-01-29,삼성 반도체 매출만 94조… 인텔 제치고 세계 1위 [삼성전자 반도체 세계 1위]
60,2022-01-30,삼성 반도체 매출만 94조… 인텔 제치고 세계 1위 [삼성전자 반도체 세계 1위]
61,2022-01-31,삼성 반도체 매출만 94조… 인텔 제치고 세계 1위 [삼성전자 반도체 세계 1위]
62,2022-02-01,삼성 반도체 매출만 94조… 인텔 제치고 세계 1위 [삼성전자 반도체 세계 1위]
63,2022-02-02,"삼성전자도 ‘중대재해법’ 대응… ""보행중 휴대전화 사용 금지"""
64,2022-02-03,반도체 구매 ‘큰손’은 스마트폰 제조사… 애플 682억弗·삼성전자 457억弗
65,2022-02-04,"""제2의 삼성전자"" 크게 터진다 “초대형 호재 발표 즉시 上”"
66,2022-02-05,"""제2의 삼성전자"" 크게 터진다 “초대형 호재 발표 즉시 上”"
67,2022-02-06,"""제2의 삼성전자"" 크게 터진다 “초대형 호재 발표 즉시 上”"
68,2022-02-07,"삼성전자, 반도체 들어간 완제품 소비국에도 세금 낸다"
69,2022-02-08,"""제2의 삼성전자"" 내일 크게 터진다 “초대형 호재 발표 즉시 上”"
70,2022-02-09,"삼성전자 노사협 ""임금 15% 이상 올려달라"""
71,2022-02-10,"[공시] 에스원, 삼성전자와 1386억원 규모 인력보안 용역 계약"
72,2022-02-11,"매그넘빈트, 삼성전자 인스턴트플레이즈 서비스 런칭 통해 앤어워드 Grand Prix 수상"
73,2022-02-12,"매그넘빈트, 삼성전자 인스턴트플레이즈 서비스 런칭 통해 앤어워드 Grand Prix 수상"
74,2022-02-13,성장통 겪는 삼성전자… 파운드리 첫 감사 [삼성 파운드리 첫 감사]
75,2022-02-14,"삼성전자, '특허괴물' 된 전직 임원에 맞소송"
76,2022-02-15,"삼성전자, 3월 16일 주총…한종희 대표이사 공식 선임"
77,2022-02-16,"""우편물 대신 전자공고"" 삼성 주총도 ESG"
78,2022-02-17,"삼성전자서비스, 고객만족 달인 18명 선발"
79,2022-02-18,"삼성전자서비스, 고객만족 달인 18명 선발"
80,2022-02-19,"삼성전자서비스, 고객만족 달인 18명 선발"
81,2022-02-20,"삼성전자서비스, 고객만족 달인 18명 선발"
82,2022-02-21,"[특징주] 쏠리드, 삼성전자 세계최초 5G SA 오픈랜 상용화 성공..'O-RAN 얼라이언스' 참여 부각↑"
83,2022-02-22,"""삼성전자, 2분기 디램·낸드 수급 개선 전망""-KB증권"
84,2022-02-23,"삼성전자, 낸드 1위 지켰지만 매출·점유율 전분기보다 줄어"
85,2022-02-24,"삼성전자, 또 구원투수 등판..자가진단키트 대량생산 지원"
86,2022-02-25,[MWC 2022] 삼성전자 한종희-노태문 스페인으로 총출동
87,2022-02-26,[MWC 2022] 삼성전자 한종희-노태문 스페인으로 총출동
88,2022-02-27,[MWC 2022] 삼성전자 한종희-노태문 스페인으로 총출동
89,2022-02-28,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
90,2022-03-01,"삼성전자, 3월 한 달간 ‘무풍 미리 장만 페스티벌’"
91,2022-03-02,제조업 일터 바꾼 오미크론... 삼성전자도 절반 재택근무 [김경민의 적시타]
92,2022-03-03,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
93,2022-03-04,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
94,2022-03-05,삼성전자 우크라 난민위해 600만달러 기부
95,2022-03-06,"[단독] 삼성전자, 올해 첫 AR글래스 나온다...애플과 한판승부 [김경민의 적시타]"
96,2022-03-07,힘 못쓰는 반도체주… 삼성전자 7만원 간신히 지켰다
97,2022-03-08,"국민주 삼성전자, 4개월만에 '6만전자'로"
98,2022-03-09,"국민주 삼성전자, 4개월만에 '6만전자'로"
99,2022-03-10,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
100,2022-03-11,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
101,2022-03-12,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
102,2022-03-13,"따뜻한 JY, 이재용 부회장 삼성전자 원로 49재까지 직접 챙겼다"
103,2022-03-14,"삼성전자, 10년째 협력사에 신입사원 입문교육"
104,2022-03-15,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
105,2022-03-16,"한종희 부회장 ""신산업 로봇·메타버스 연내 본궤도 올릴것"" [삼성전자 주주총회]"
106,2022-03-17,동학개미 1400만명 시대...삼성전자·카카오 '국민주'
107,2022-03-18,"'소통왕' 경계현 만난 삼성전자 노조 ""협상 분위기가 바뀌었다"""
108,2022-03-19,"'소통왕' 경계현 만난 삼성전자 노조 ""협상 분위기가 바뀌었다"""
109,2022-03-20,"삼성전자 ‘디지털 교육환경’ 지원, 스마트스쿨 개편… 10개교서 운영"
110,2022-03-21,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
111,2022-03-22,"율호, 삼성전자에 220억 규모 스토리지 소프트웨어 공급계약"
112,2022-03-23,'LG 빈자리' 채운 삼성전자... 국내 스마트폰 점유율 72%
113,2022-03-24,삼성전자 480곳 협력사 대상 화학물질 관리 교육
114,2022-03-25,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
115,2022-03-26,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
116,2022-03-27,"KT, 삼성전자 온양사업장에 ‘안전감시’ 드론 도입"
117,2022-03-28,"[특징주]싸이맥스, 삼성전자 로봇 1차 협력사 국내 유일 보행 보조 로봇 관련주 부각"
118,2022-03-29,"블로코, IPO 본격 추진...삼성전자 출신 박성훈 부사장 영입"
119,2022-03-30,"[특징주]알파홀딩스, ARM과 국내 유일 삼성전자 시스템반도체 SAFE 파트너 부각"
120,2022-03-31,"SGC솔루션, 대용량 세탁기 도어 글라스 삼성전자에 납품"
121,2022-04-01,"한종희에 직언한 A직원 ""부회장님, 삼성전자 1등 아닙니다. 인정하십니까?"" [김경민의 적시타]"
122,2022-04-02,삼성전자 지지부진해도...개미들 몰린 '삼성불패' 종목은
123,2022-04-03,삼성전자 지지부진해도...개미들 몰린 '삼성불패' 종목은
124,2022-04-04,"삼성전자, 4년 연속 DRAM 성장 여부 불투명..목표가↓-유진"
125,2022-04-05,"반도체 인재 뺏길라… DB하이텍 ""임금 삼성전자 수준으로"""
126,2022-04-06,"‘창사 첫 파업’ 위기 몰린  삼성전자… 다음주 찬반투표 분수령 [새정부, 춘투가 온다 (上)]"
127,2022-04-07,삼성전자 ‘年매출 300조 시대’ 첫 단추 끼웠다 [삼성전자 매출 사상최대]
128,2022-04-08,"""삼성전자"", 물리신 분"
129,2022-04-09,"""삼성전자"", 물리신 분"
130,2022-04-10,"삼성전자, 특허기술 276건 중기에 준다"
131,2022-04-11,"삼성전자, 대면회의·출장·행사 재개한다 [확진자 감소세 뚜렷]"
132,2022-04-12,삼성전자 신저가 경신… 개미들 “속탄다 속타”
133,2022-04-13,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
134,2022-04-14,"삼성전자 사측 ""유급휴일 3일 제안""...노사 내일 또 교섭"
135,2022-04-15,"삼성전자, 인텔 제치고 작년 반도체 매출 세계 1위"
136,2022-04-16,"'666' 삼성전자에 분통 터진 개미, “차라리 TSMC를 사겠다”"
137,2022-04-17,"삼성전자, 내 취향에 맞게 제품 디자인하고 구매까지"
138,2022-04-18,하루에 냉탕온탕 오간 삼성전자
139,2022-04-19,"삼성전자·SK하이닉스, 미국 반도체 지수 오르자 모처럼 반등"
140,2022-04-20,"삼성전자, 글로벌 스마트폰 점유율 1위... '갤S22'시리즈가 판매 견인"
141,2022-04-21,"""삼성전자"", 물리신 분"
142,2022-04-22,"""삼성전자"", 물리신 분"
143,2022-04-23,"""삼성전자"", 물리신 분"
144,2022-04-24,韓 의류관리기 국제 특허출원 세계 1위... LG전자·삼성전자·코웨이 등 시장 주도
145,2022-04-25,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
146,2022-04-26,"""삼성전자"", 물리신 분"
147,2022-04-27,"삼성전자,  TV 신제품 22종 ‘탄소발자국’ 획득"
148,2022-04-28,삼성전자 또 신기록... 1분기 매출 77조원 [삼성전자 역대급 실적]
149,2022-04-29,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
150,2022-04-30,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
151,2022-05-01,올 임금 9% 인상 삼성전자... 대기업-中企 양극화 심화
152,2022-05-02,"삼성전자, 기업 전용 '5G 특화망' 통신장비 시장 공략"
153,2022-05-03,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
154,2022-05-04,'삼성전자 보유' 미성년자 1년새 3배 늘었다
155,2022-05-05,"삼성전자 생활가전, 영국 왕실도 ‘엄지척’"
156,2022-05-06,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
157,2022-05-07,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
158,2022-05-08,"삼성전자 '6G 주파수 백서' 공개...""글로벌 논의·연구 시작하자"""
159,2022-05-09,"""삼성전자, 美 5G 장비 수주""...통신장비주 강세 지속"
160,2022-05-10,"삼성D 임금 9% 인상, 삼성전자도 레고랜드 간다 [김경민의 적시타]"
161,2022-05-11,"삼성전자 스마트 사이니지, 영·미서 친환경 인증 획득"
162,2022-05-12,1년 반 만에… 삼성전자 시총 25% 증발
163,2022-05-13,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
164,2022-05-14,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上”"
165,2022-05-15,"‘6G 리더십’ 확보 나선 삼성전자… 이재용, 글로벌 협업 직접 챙긴다"
166,2022-05-16,"DB하이텍 ""팹리스 경쟁력 강화""... 삼성전자 출신 설계 전문가 영입"
167,2022-05-17,외국인 돌아온 삼성전자 웃었다
168,2022-05-18,박병국 삼성전자 사외이사 별세
169,2022-05-19,"삼성전자 특허 받아가세요... 경기도, 양도받을 중기 모집"
170,2022-05-20,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上"
171,2022-05-21,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上"
172,2022-05-22,[fn사설] 한·미 기술동맹 뒷받침한 삼성전자와 현대차
173,2022-05-23,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上"
174,2022-05-24,"부영그룹, 삼성전자 등 기업 72곳과 대한상의 ‘신 기업가정신 협의회’ 참여"
175,2022-05-25,"삼성전자, 레드햇과 차세대 메모리 SW 개발 협력"
176,2022-05-26,삼성전자가 스마트공장 지원한 中企 ‘대통령 표창’ 받았다
177,2022-05-27,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上"
178,2022-05-28,"""제2의 삼성전자"" 내일 “초대형 호재 발표 즉시 上"
179,2022-05-29,"삼성전자, '비스포크 인피니트 라인' 인덕션 출시"
180,2022-05-30,"""삼성전자"" 450조 투자행방 찾았다!! “이 종목” 반드시 매수할 것!"
181,2022-05-31,삼성전자 등 4곳 배당금 1조 넘게 풀었다
182,2022-06-01,[부음] 최병수씨(전 삼성전기 전무·전 동양전자공업 대표) 별세 外
183,2022-06-02,"삼성전자, 반도체연구소장 등 임원인사 단행"
184,2022-06-03,"삼성전자, 브라질서 에어컨 신제품 행사 개최"
185,2022-06-04,"삼성전자, 브라질서 에어컨 신제품 행사 개최"
186,2022-06-05,개미들의 탄식… 삼성전자 12조 담았는데 수익률 -3%
187,2022-06-06,"11번가, 삼성전자 '시스템 에어컨' 이커머스 최초 판매"
188,2022-06-07,"삼성전자, 2022년형 '비스포크 홈' 공개 본격 해외시장 공략"
189,2022-06-08,"삼성전자, 협력사에 ESG 기술 지원한다"
190,2022-06-09,"삼성전자, 협력사에 ESG 기술 지원한다"
191,2022-06-10,"삼성전자, 협력사에 ESG 기술 지원한다"
192,2022-06-11,"삼성전자, 협력사에 ESG 기술 지원한다"
193,2022-06-12,"삼성전자, 협력사에 ESG 기술 지원한다"
194,2022-06-13,'국민주' 삼성전자 연일 바닥뚫어... 코스피 급락에 시총 톱100 와르르
195,2022-06-14,삼성전자 주가 추락해도… 삼성전자 테마주는 살아남았다
196,2022-06-15,"[속보] 삼성전자, 6만원선도 위태...연일 신저가"
197,2022-06-16,"[특징주]한전산업, 삼성물산 글로벌 ESS 본격화...삼성전자 통합형 ESS 납품 부각↑"
198,2022-06-17,"삼성전자, 6만원 붕괴…연중 최저가 경신"
199,2022-06-18,"삼성전자, 6만원 붕괴…연중 최저가 경신"
200,2022-06-19,"법인세 감면 최대 수혜는 반도체… 삼성전자·SK하이닉스, 2조 투자여력 생긴다"
201,2022-06-20,외국인 지분율 50% 깨진 삼성전자… 주가 더 떨어지나
202,2022-06-21,"삼성전자, 차량용 픽셀 LED 대통령상 수상"
203,2022-06-22,"삼성전자, AI 선행 기술연구·인재 영입 사활… 초격차 실현"
204,2022-06-23,‘5만전자’에 화들짝… 삼성전자 목표가 낮추는 증권사들
205,2022-06-24,‘5만전자’에 화들짝… 삼성전자 목표가 낮추는 증권사들
206,2022-06-25,‘5만전자’에 화들짝… 삼성전자 목표가 낮추는 증권사들
207,2022-06-26,삼성전자 ‘스마트싱스 일상도감’ 캠페인
208,2022-06-27,"삼성전자, 장기 투자 위한 저점 매수 가격대 진입-하이"
209,2022-06-28,"[특징주] 가온칩스, 세계최초 삼성전자 3나노 반도체 대량 양산 임박소식에 ↑"
210,2022-06-29,삼성전자 팔고 셀트리온 사고… 연기금에 쏠린 눈
211,2022-06-30,"삼성전자, TSMC 잡을 신무기 장착… 기술격차 반년 벌렸다 [삼성 세계 첫 3나노 양산]"
212,2022-07-01,"삼성전자, TSMC 잡을 신무기 장착… 기술격차 반년 벌렸다 [삼성 세계 첫 3나노 양산]"
213,2022-07-02,"삼성전자, TSMC 잡을 신무기 장착… 기술격차 반년 벌렸다 [삼성 세계 첫 3나노 양산]"
214,2022-07-03,"삼성전자, 중국 매출 3년 만에 반등… 반도체가 견인"
215,2022-07-04,"실적발표 앞둔 삼성·LG전자, ‘3고’에 발목"
216,2022-07-05,"삼성전자, 멕시코 외교사절단 면담"
217,2022-07-06,中서 발빼는 삼성전자… 임직원수 8년새 6만→1만명대로
218,2022-07-07,삼성전자 실적선방... 반도체가 이끌었다 [삼성전자 2분기 잠정실적]
219,2022-07-08,"[공시]RFHIC, 삼성전자와 67억 규모 공급계약 체결"
220,2022-07-09,"[공시]RFHIC, 삼성전자와 67억 규모 공급계약 체결"
221,2022-07-10,"[공시]RFHIC, 삼성전자와 67억 규모 공급계약 체결"
222,2022-07-11,"삼성전자 '6만전자' 회복, 결국 외국인 귀환에 달렸다"
223,2022-07-12,구글세 1년 미뤄져 2024년 시행... 삼성전자·SK하이닉스 포함될듯
224,2022-07-13,"[fn마감시황]코스피, 삼성전자·LG엔솔의 아쉬움..2320선에 만족"
225,2022-07-14,"삼진어묵, 삼성전자 큐커 런칭 1주년 기념 프로모션 참여"
