,날짜,제목
226,2022-07-15,"삼진어묵, 삼성전자 큐커 런칭 1주년 기념 프로모션 참여"
227,2022-07-16,"삼진어묵, 삼성전자 큐커 런칭 1주년 기념 프로모션 참여"
228,2022-07-17,"삼성전자-SK그룹, ‘부산 엑스포’ 유치 국내외 지원 총력"
229,2022-07-18,"삼성전자 '갤럭시 캠퍼스 스토어', 이젠 앱으로도 '학생 할인' 누린다"
230,2022-07-19,삼성전자 이틀만에 하락… 개미들 '울상'
231,2022-07-20,"삼성전자서비스, AS 전 부문 1위"
232,2022-07-21,"삼성전자, 연산성능 2배 스마트SSD 개발"
233,2022-07-22,"개미들의 한계? 삼성전자, 6만원 넘자마자 팔았다"
234,2022-07-23,"개미들의 한계? 삼성전자, 6만원 넘자마자 팔았다"
235,2022-07-24,"개미들의 한계? 삼성전자, 6만원 넘자마자 팔았다"
236,2022-07-25,"삼성, 3나노 기술력 앞세워 대형고객사 확보 가속 [삼성전자 3나노 '양산']"
237,2022-07-26,"삼성전자, 삼진어묵과 '비스포크 큐커 썸머 페스티벌' 실시"
238,2022-07-27,"삼성전자, 삼진어묵과 '비스포크 큐커 썸머 페스티벌' 실시"
239,2022-07-28,반도체로 버틴 삼성전자… 하반기 이재용이 직접 챙길까 [삼성전자 하반기 전략]
240,2022-07-29,"한국폴리텍 남인천캠퍼스, 삼성전자 재직자 교육 실시"
241,2022-07-30,"한국폴리텍 남인천캠퍼스, 삼성전자 재직자 교육 실시"
242,2022-07-31,"삼성전자, 협력사와 상생 ESG 스토리 공개"
243,2022-08-01,삼성전자·아주대 '인공근육구동기' 논문 네이처 게재
244,2022-08-02,"삼성전자, TV 등 11개 제품, ‘올해의 녹색상품’에 선정"
245,2022-08-03,"삼성전자, ‘비스포크 아틀리에’ 전용 콘텐츠 확대"
246,2022-08-04,"삼성전자, 印 1위 통신사에 5G 장비 공급"
247,2022-08-05,"삼성전자, 印 1위 통신사에 5G 장비 공급"
248,2022-08-06,"삼성전자, 印 1위 통신사에 5G 장비 공급"
249,2022-08-07,"노태문 삼성전자 사장, 베트남서 부산엑스포 유치홍보"
250,2022-08-08,"삼성전자, 창사 첫 노사 임금협상 타결"
251,2022-08-09,기관 매도세에 맥 못추는 삼성전자
252,2022-08-10,"美, 中 견제 '반도체법' 발효... 삼성전자 · TSMC 최대 수혜 [美 '반도체법' 발효]"
253,2022-08-11,"美, 中 견제 '반도체법' 발효... 삼성전자 · TSMC 최대 수혜 [美 '반도체법' 발효]"
254,2022-08-12,"美, 中 견제 '반도체법' 발효... 삼성전자 · TSMC 최대 수혜 [美 '반도체법' 발효]"
255,2022-08-13,"美, 中 견제 '반도체법' 발효... 삼성전자 · TSMC 최대 수혜 [美 '반도체법' 발효]"
256,2022-08-14,"한종희 삼성전자 부회장, 阿서 부산엑스포 유치전"
257,2022-08-15,"양태종 삼성전자 부사장 ""'워치5' 온도센서 활용한 건강관리 기능 추가 계획"""
258,2022-08-16,"한종희 삼성전자 부회장, 스웨덴서 부산엑스포 지원"
259,2022-08-17,"삼성전자, 글로벌 청년들과 '더 나은 미래' 그린다"
260,2022-08-18,"노태문 삼성전자 사장, 파나마서 '부산엑스포 외교'"
261,2022-08-19,"노태문 삼성전자 사장, 파나마서 '부산엑스포 외교'"
262,2022-08-20,"노태문 삼성전자 사장, 파나마서 '부산엑스포 외교'"
263,2022-08-21,"삼성전자, 네오 QLED 98형 신제품 출시"
264,2022-08-22,"삼성전자, 유럽 최대 가전전시회서 '비스포크 홈' 대거 전시"
265,2022-08-23,"삼성전자 ""고객 보안·개인정보 보호가 최우선"""
266,2022-08-24,"[특징주]비트나인, 삼성전자 메타버스 아바타플랫폼 투자사 추가 투자 유치 소식에↑"
267,2022-08-25,"삼성전자, 게이밍 최적 고성능 SSD '990 프로' 공개"
268,2022-08-26,"삼성전자, 게이밍 최적 고성능 SSD '990 프로' 공개"
269,2022-08-27,"삼성전자, 게이밍 최적 고성능 SSD '990 프로' 공개"
270,2022-08-28,"피지 찾은 이인용 삼성전자 사장, 2030부산엑스포 유치 협력 요청"
271,2022-08-29,"""삼성전자에 외계인이 떴다""…버추얼 아바타  '지누스마스' 공개"
272,2022-08-30,"삼성전자, 스포츠 현장서 부산엑스포 유치 홍보"
273,2022-08-31,"신라면세점, 삼성전자와 손잡고 갤럭시탭 경품 행사"
274,2022-09-01,"삼성전자, 신임 사외이사에 유명희·허은녕 추천"
275,2022-09-02,"""중소기업과 상생""...삼성전자, 중소기업에 제조혁신 노하우 전파"
276,2022-09-03,"""중소기업과 상생""...삼성전자, 중소기업에 제조혁신 노하우 전파"
277,2022-09-04,경쟁사들 하락에도 나홀로 성장...삼성전자 '엑시노스' 2분기 출하량 53% 급증
278,2022-09-05,"삼성전자, IFA 개최지 베를린 곳곳서 '2030 부산엑스포' 유치 홍보 [IFA2022]"
279,2022-09-06,"피르마체인, 삼성전자 출신 김동훈 CTO 선임"
280,2022-09-07,"특허청·삼성전자, ‘기술협력·투자유치 설명회 개최"
281,2022-09-08,[부고] 조신형씨(삼성전자 DS부문 커뮤니케이션팀 상무) 빙부상
282,2022-09-09,"삼성·LG전자, 추석 연휴에도 냉장고 등 긴급 수리 지원"
283,2022-09-10,"삼성·LG전자, 추석 연휴에도 냉장고 등 긴급 수리 지원"
284,2022-09-11,"삼성·LG전자, 추석 연휴에도 냉장고 등 긴급 수리 지원"
285,2022-09-12,"삼성·LG전자, 추석 연휴에도 냉장고 등 긴급 수리 지원"
286,2022-09-13,"삼성·LG전자, 세계 3대 디자인상 'IDEA’ 휩쓸어"
287,2022-09-14,"英왕실 가전 납품 삼성전자, 여왕 추모행렬 동참"
288,2022-09-15,"전력사용량 1위 기업의 도전... 삼성전자 ""2050년 탄소중립"" [삼성, 新환경경영전략 선언]"
289,2022-09-16,2030년까지 물 100% 환원·폐배터리 재활용… 삼성전자 '탄소중립' 혁신기술 구체화
290,2022-09-17,다가온 국내 주식 소수점 거래 “커피 한잔 대신 삼성전자 0.1주 살까”
291,2022-09-18,동학개미는 삼성전자 '줍줍'… 서학개미는 인버스 '베팅'
292,2022-09-19,"삼성전자 노조, 임금피크제 단체소송 나선다...소송인단 모집"
293,2022-09-20,삼성전자 ‘비스포크 무풍 시스템에어컨’ 출시
294,2022-09-21,<부고> 이정섭(삼성전자 DS커뮤니케이션팀 차장)씨 부친상
295,2022-09-22,삼성전자 또 신저가… 5만4400원 마감
296,2022-09-23,삼성전자 또 신저가… 5만4400원 마감
297,2022-09-24,삼성전자 또 신저가… 5만4400원 마감
298,2022-09-25,삼성전자 또 신저가… 5만4400원 마감
299,2022-09-26,‘메모리 한파’ 삼성전자·SK하이닉스… 3분기 실적 먹구름
300,2022-09-27,"삼성전자 루마니아 뉴스룸 오픈 ""세계 52개 지역서 고객과 소통"""
301,2022-09-28,"삼성전자, 2분기 파운드리 점유율 16.5%…1위 TSMC와 격차 축소"
302,2022-09-29,<부고> 권혁중씨(삼성전자 커뮤니케이션팀 프로) 모친상
303,2022-09-30,"삼성전자, 5만2천원대 깨져..52주 신저가"
304,2022-10-01,"삼성전자, 5만2천원대 깨져..52주 신저가"
305,2022-10-02,"삼성전자, 5만2천원대 깨져..52주 신저가"
306,2022-10-03,"태국서 손잡은 KB카드·삼성전자, 휴대폰 할부금융서비스 SF+ 출시"
307,2022-10-04,"삼성전자 1.4나노 2027년 양산 선언 [삼성전자, 파운드리 1등 출사표]"
308,2022-10-05,"삼성전자, 멕시코에 '비스포크 홈 플래그십 매장' 첫 선"
309,2022-10-06,"WSJ ""미-중 반도체 갈등, 삼성전자에게는 기회"""
310,2022-10-07,"삼성전자, 메모리 부진에 3분기 '어닝쇼크'…내년 전망도 어둡다(종합)"
311,2022-10-08,"삼성전자, 메모리 부진에 3분기 '어닝쇼크'…내년 전망도 어둡다(종합)"
312,2022-10-09,삼성전자 잿빛 전망… '4만전자' 추락 위기
313,2022-10-10,"[속보]삼성전자 ""키이우 법인 150m에 피격..인명피해 없어"""
314,2022-10-11,"삼성전자, '웰스토리 압수수색 불복' 준항고 취하"
315,2022-10-12,"삼성전자, 포브스 ‘세계 최고 직장’ 3년째 1위"
316,2022-10-13,"삼성전자 이인용 사장, 남아공 장관에 부산엑스포 지지 요청"
317,2022-10-14,"삼성전자, 해외 협력사에 제품 화학물질 관리 교육"
318,2022-10-15,"삼성전자, 해외 협력사에 제품 화학물질 관리 교육"
319,2022-10-16,'실리콘밸리 인재 교류의 장' 삼성전자 테크 포럼 2022 개최
320,2022-10-17,"삼성전자 시간 벌었다..TSMC, 3나노 양산 연기"
321,2022-10-18,삼성전자 생활가전 이끌던 이재승 사장 사의 표명
322,2022-10-19,"화성시-삼성전자 화성캠퍼스, 둘레길 '사이로' 개장"
323,2022-10-20,27일 이사회 앞둔 삼성전자 ‘이재용 회장 승진’ 논의하나
324,2022-10-21,"[공시]삼성엔지니어링, 삼성전자로부터 3541억 규모 공사 수주"
325,2022-10-22,"[공시]삼성엔지니어링, 삼성전자로부터 3541억 규모 공사 수주"
326,2022-10-23,"[공시]삼성엔지니어링, 삼성전자로부터 3541억 규모 공사 수주"
327,2022-10-24,"씨앤지하이테크, 삼성전자와 535억 규모 반도체 제조장비 공급"
328,2022-10-25,"[특징주]코아시아, 삼성전자 300조 '차량용 반도체' 정조준…차량용 반도체 공식파트너↑"
329,2022-10-26,"우리카드, 삼성전자와 ‘마이펫플랜’ 업무협약..반려동물시장 선도"
330,2022-10-27,[단독][fn마켓워치] 삼성전자 신임 외부 감사인에 삼정KPMG 선임
331,2022-10-28,"삼성전자서비스, 콜센터품질지수 4년 연속 '최우수기업' 선정"
332,2022-10-29,"삼성전자서비스, 콜센터품질지수 4년 연속 '최우수기업' 선정"
333,2022-10-30,"삼성전자서비스, 콜센터품질지수 4년 연속 '최우수기업' 선정"
334,2022-10-31,삼성전자 ‘이태원 비극’ 추모… 창립기념식도 조촐히
335,2022-11-01,"'이태원 참사 애도' 53돌 맞은 삼성전자…한종희 ""어려울 때일수록 진짜 실력 나온다"""
336,2022-11-02,"삼성전자 등 4곳 ‘이달의 상생볼’... 중기부 ""동반성장 문화 확산 기여"""
337,2022-11-03,삼성전자 6년만에 임시주총... 유명희·허은녕 사외이사 선임
338,2022-11-04,"이인용 삼성전자 사장 ""제조입 기반 비슷한 韓·獨, 경제협력 시너지 클 것"""
339,2022-11-05,"獨 대통령, 삼성전자 평택캠퍼스 방문…반도체 협력 논의"
340,2022-11-06,"광주, 삼성전자와 손잡고 지역 스타트업 5곳 육성"
341,2022-11-07,"삼성전자, 세계 최고 용량 '1Tb 8세대 V낸드' 양산"
342,2022-11-08,삼성전자 협력사 20대 근로자 사망...경찰·노동당국 조사 착수
343,2022-11-09,"삼성전자, 스마트싱스 홈 IoT 솔루션 적용 아파트 10만 세대 돌파"
344,2022-11-10,연말 코스피 순매수 나서는 기관...'삼성전자' 산다
345,2022-11-11,"""자원순환 메시지 담았다"" 삼성전자, '더 웨이브' 전시회 개최"
346,2022-11-12,"""자원순환 메시지 담았다"" 삼성전자, '더 웨이브' 전시회 개최"
347,2022-11-13,"""자원순환 메시지 담았다"" 삼성전자, '더 웨이브' 전시회 개최"
348,2022-11-14,"[전자업계 2023년 키워드]  삼성·LG·SK ""AI로 미래 혁신 선도"""
349,2022-11-15,동반성장 앞장… 이우섭 삼성전자 부사장 은탑훈장
350,2022-11-16,[fn사설] '금융의 삼성전자' 나오려면 금산 분리 족쇄 풀길
351,2022-11-17,삼성·LG전자 'CES 2023' 휩쓸며 최다 수상기록 경신
352,2022-11-18,"치열해지는 반도체 인재 확보전...삼성전자, 대졸 초임 5150만→5300만 인상"
353,2022-11-19,"치열해지는 반도체 인재 확보전...삼성전자, 대졸 초임 5150만→5300만 인상"
354,2022-11-20,"삼성전자, 구글 제치고 ‘글로벌 최고 브랜드’ 1위"
355,2022-11-21,"""반도체 치킨게임""...삼성전자·SK하이닉스, 왜 달라지나"
356,2022-11-22,"D램 매출 3년 만에 역성장..삼성전자-SK하이닉스, 시장지배력 더 커진다"
357,2022-11-23,"NH농협은행·삼성전자, 겨울철 김장나눔 행사"
358,2022-11-24,대한전자공학대상에 전영현 삼성SDI 부회장
359,2022-11-25,"경계현 삼성전자 사장, 日서 소니 방문...'협력관계 강화'"
360,2022-11-26,"경계현 삼성전자 사장, 日서 소니 방문...'협력관계 강화'"
361,2022-11-27,삼성전자 '월드컵 특수' 카타르에 체험공간 확대
362,2022-11-28,"[특징주] 삼성전자, 장중 '5만전자' 회귀"
363,2022-11-29,'역대급 블프'...삼성·LG전자 할인공세 나선 까닭?
364,2022-11-30,"이상일 용인시장 ""삼성전자 하수처리수 재이용 의미 특별하다"""
365,2022-12-01,"KT·아마존과 손잡은 삼성전자, HDR10+ 적용 확대"
366,2022-12-02,"'푹 주석' 방한..삼성전자, 베트남 반도체 공장 세울까"
367,2022-12-03,"'푹 주석' 방한..삼성전자, 베트남 반도체 공장 세울까"
368,2022-12-04,"삼성전자, 사내 일회용품 ‘제로' 추진"
369,2022-12-05,임원 규모 줄이며 인적쇄신 예고... ‘3040 리더’ 발탁 조직혁신 주력 [이재용 삼성전자 회장 첫 사장단 인사]
370,2022-12-06,젊어진 삼성… 3040 임원 대거 발탁 [이재용 회장 첫 전자계열 임원 인사]
371,2022-12-07,"한종희 삼성전자 부회장, 베트남 주석과 협력 논의"
372,2022-12-08,삼성전자 '中 수장 맡은' 양걸 사장의 시험대..'사업부진+반도체 패권경쟁' 숙제
373,2022-12-09,삼성전자 '中 수장 맡은' 양걸 사장의 시험대..'사업부진+반도체 패권경쟁' 숙제
374,2022-12-10,삼성전자 '中 수장 맡은' 양걸 사장의 시험대..'사업부진+반도체 패권경쟁' 숙제
375,2022-12-11,삼성전자 한종희 '가전·TV사업부장 겸직' 유지...1970년생 차세대 리더 중용
376,2022-12-12,삼성전자 6만원선 붕괴..4분기 실적 예상보다 부진 전망
377,2022-12-13,삼성전자 '폐어망 재활용 플라스틱' SEAL 어워드 수상
378,2022-12-14,삼성전자 스웨덴·노르웨이 뉴스룸 오픈.. 유럽 프리미엄 가전시장 '정조준'
379,2022-12-15,"한국투자증권, 삼성전자 기초자산으로 하는 ELW 신규 상장"
380,2022-12-16,"한국투자증권, 삼성전자 기초자산으로 하는 ELW 신규 상장"
381,2022-12-17,"한국투자증권, 삼성전자 기초자산으로 하는 ELW 신규 상장"
382,2022-12-18,"한국투자증권, 삼성전자 기초자산으로 하는 ELW 신규 상장"
383,2022-12-19,보안 투자 많이 하는 대기업... 삼성전자·KT·쿠팡 업계 1위
384,2022-12-20,보안 투자 많이 하는 대기업... 삼성전자·KT·쿠팡 업계 1위
385,2022-12-21,'실적 한파' 삼성전자 성과급 반토막
386,2022-12-22,삼성전자-전북도 손잡는다…제조혁신 추진
387,2022-12-23,[특징주] SK하이닉스 또 신저가...삼성전자도 약세
388,2022-12-24,[특징주] SK하이닉스 또 신저가...삼성전자도 약세
389,2022-12-25,"""CES 2023 주방 가전 혁신 이끈다"" 삼성전자 '비스포크 인피니트' 라인업 확대"
390,2022-12-26,삼성전자 '비스포크 인피니트' 주방에 프리미엄을 더하다
391,2022-12-27,사진=삼성전자 43형 프리미엄 평면 게이밍모니터 국내 첫 선
392,2022-12-28,반도체 '연봉절반' 생활가전 '한자릿수'...성과급 희비 엇갈린 삼성전자
393,2022-12-29,캔버스로 변신한 '더 프레임' TV... 삼성전자 '유니온 아트페어' 전시 참여
394,2022-12-30,캔버스로 변신한 '더 프레임' TV... 삼성전자 '유니온 아트페어' 전시 참여
395,2022-12-31,캔버스로 변신한 '더 프레임' TV... 삼성전자 '유니온 아트페어' 전시 참여
396,2023-01-01,캔버스로 변신한 '더 프레임' TV... 삼성전자 '유니온 아트페어' 전시 참여
397,2023-01-02,"삼성전자 한종희·경계현 대표 ""과감한 도전과 변신으로 도약 전환점 만들자"""
398,2023-01-03,"[특징주]레인보우로보틱스, 삼성전자 대상 유상증자 결정 소식에↑"
399,2023-01-04,"삼성전자·SK하이닉스, 반도체 세액공제시 연 6조 이상 아낄듯 [반도체 稅혜택 업고 질주 채비]"
400,2023-01-05,간만에 고개 든 삼성전자·SK하이닉스… 사? 말아?
401,2023-01-06,[CES 2023] 삼성전자 전시관 앞 마련된 대형 미디어 파사드
402,2023-01-07,"한종희 삼성전자 부회장 ""TV시장 18년 연속 세계 1위 도전"""
403,2023-01-08,삼성전자 '29년 특허 1위' IBM 제쳤다
404,2023-01-09,"[특징주] 휴림로봇, 삼성전자 첫 로봇 출시 기대감에↑...협력관계 부각"
405,2023-01-10,제2의 삼성전자 꿈꾸며...지난해 액면가 바꾼 상장사 36곳
406,2023-01-11,제2의 삼성전자 꿈꾸며...지난해 액면가 바꾼 상장사 36곳
407,2023-01-12,"""초격차 기술로 위기돌파""...삼성전자, 첫 5나노 컨트롤러 탑재 SSD 양산"
408,2023-01-13,"신도기연, 삼성전자 '퀀텀닷' 양산 추진..라이네이팅 장비 독점 공급"
409,2023-01-14,"신도기연, 삼성전자 '퀀텀닷' 양산 추진..라이네이팅 장비 독점 공급"
410,2023-01-15,"신도기연, 삼성전자 '퀀텀닷' 양산 추진..라이네이팅 장비 독점 공급"
411,2023-01-16,"[특징주]아남전자, 삼성 하만-페라리 차세대 차량용 솔루션 개발 파트너사 선정↑"
412,2023-01-17,"삼성전자, 19개국서 ‘갤럭시S23’ 체험존 연다"
413,2023-01-18,"<사진기사>삼성전자, 다보스포럼 현장서 '부산엑스포 유치' 지원"
414,2023-01-19,"""TSMC 잡자""…삼성전자, 반도체 무뎌진 칼날 ‘M&A'로 살린다"
415,2023-01-20,"""TSMC 잡자""…삼성전자, 반도체 무뎌진 칼날 ‘M&A'로 살린다"
416,2023-01-21,"""삼성전자 주가, 1분기 바닥 형성 전망"""
417,2023-01-22,"""삼성전자 주가, 1분기 바닥 형성 전망"""
418,2023-01-23,"""삼성전자 주가, 1분기 바닥 형성 전망"""
419,2023-01-24,"삼성전자, ‘실적 부진’ 생활가전사업부 전면개편"
420,2023-01-25,"삼성전자, ‘실적 부진’ 생활가전사업부 전면개편"
421,2023-01-26,삼성전자 '사업 연속성 관리 체계' 인증 획득
422,2023-01-27,"드림텍, 삼성전자로부터 '갤럭시 품질 최우수상' 수상"
423,2023-01-28,"드림텍, 삼성전자로부터 '갤럭시 품질 최우수상' 수상"
424,2023-01-29,인도 뉴델리를 사로잡은 '삼성전자 체험매장'
425,2023-01-30,"삼성전자, 반도체 탄소배출 ‘전과정 평가체계’ 구축"
426,2023-01-31,경쟁사 몸사릴 때 되레 공격 투자…'반격' 노리는 삼성 [삼성전자 실적쇼크]
427,2023-02-01,"""이재용 회장님 말고 'JY'로 부르세요""... 삼성전자 수평 호칭 확대"
428,2023-02-02,반도체주 바닥은 쳤다? 삼성전자·하이닉스 'V반등'
429,2023-02-03,"[특징주]텔레칩스, 삼성전자 '車반도체' BMW와 핵심 칩 개발 착수 소식에↑"
430,2023-02-04,"[특징주]텔레칩스, 삼성전자 '車반도체' BMW와 핵심 칩 개발 착수 소식에↑"
431,2023-02-05,"""갤S23, 셀피 기능 대거 개선"" 카메라 개발 총괄 삼성전자 부사장의 자신감"
432,2023-02-06,삼성·LG전자 '고효율 냉·난방 공조솔루션' 美 출격
433,2023-02-07,삼성·LG전자 '고효율 냉·난방 공조솔루션' 美 출격
434,2023-02-08,삼성·LG전자 '고효율 냉·난방 공조솔루션' 美 출격
435,2023-02-09,"삼성전자, 깐깐한 日통신사 '5G 밸류체인' 책임진다"
436,2023-02-10,"삼성전자, 깐깐한 日통신사 '5G 밸류체인' 책임진다"
437,2023-02-11,"삼성전자, 깐깐한 日통신사 '5G 밸류체인' 책임진다"
438,2023-02-12,"외국인 삼성전자 살때, 기관은 오스템임플란트 ‘찜’"
439,2023-02-13,"삼성전자·KAIST, 로봇인재 육성 '맞손'"
440,2023-02-14,자회사에 20조원 빌린 삼성전자…실적 악화에 투자금 긴급 수혈
441,2023-02-15,삼성전자 결단… 자회사서 20兆 빌려 첨단공정 선제 투자
442,2023-02-16,"'물로 빨아 재사용' 공기정화 필터… 삼성전자, 세계 첫 개발"
443,2023-02-17,"'물로 빨아 재사용' 공기정화 필터… 삼성전자, 세계 첫 개발"
444,2023-02-18,"'물로 빨아 재사용' 공기정화 필터… 삼성전자, 세계 첫 개발"
445,2023-02-19,"삼성전자, AI 기능 강화한 공기청정기 신제품 선봬"
446,2023-02-20,반도체 불황에… 삼성전자 1분기 영업익 1조원대 전망 나와
447,2023-02-21,"삼성전자, 美 암바렐라에 자율주행 車반도체 공급"
448,2023-02-22,"삼성전자 C랩 대구 출범… 지역 스타트업, 유니콘으로 육성"
